title,course,specializations,professional certificates,guided project,none,OL Passes 0,OL Passes 5,OL Passes 9,AL Passes 0,AL Passes 3,duration,category_Business Essentials,category_Cloud Computing,category_Computer Security and Networks,category_Data Analysis,category_Design and Product,category_Environmental Science and Sustainability,category_Machine Learning,category_Math and Logic,category_Networking,category_Physics and Astronomy,category_Support and Operations,category_other_category,level_Advanced Level,level_Beginner Level,level_Intermediate Level,level_None
1,0,1,0,0,0,0,0,1,0,1,720,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2,1,0,0,0,0,1,0,0,1,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,1,0,0,0,0,0,0,1,0,1,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
4,1,0,0,0,0,0,0,1,0,1,50,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
5,1,0,0,0,0,0,0,1,0,1,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
6,1,0,0,0,0,0,0,1,0,1,50,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
7,1,0,0,0,0,0,1,0,0,1,20,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
8,1,0,0,0,0,0,0,1,0,1,20,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
9,0,1,0,0,0,0,0,1,0,1,720,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
10,0,1,0,0,0,0,0,1,0,1,720,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
11,0,1,0,0,0,0,1,0,0,1,720,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
12,0,1,0,0,0,1,0,0,1,0,720,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
13,0,1,0,0,0,1,0,0,1,0,720,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
14,0,1,0,0,0,1,0,0,1,0,720,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
15,0,0,1,0,0,0,0,1,0,1,720,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
16,1,0,0,0,0,0,0,1,0,1,20,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
17,0,0,1,0,0,0,0,1,0,1,720,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
18,1,0,0,0,0,0,0,1,0,1,13,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
19,1,0,0,0,0,0,0,1,0,1,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
20,1,0,0,0,0,0,0,1,0,1,13,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
21,1,0,0,0,0,0,0,1,0,1,13,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
22,0,1,0,0,0,0,0,1,0,1,720,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
23,0,1,0,0,0,0,0,1,0,1,720,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
24,1,0,0,0,0,0,0,1,0,1,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
25,1,0,0,0,0,1,0,0,1,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
26,1,0,0,0,0,0,0,1,0,1,13,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
27,0,1,0,0,0,0,0,1,0,1,720,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
28,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
29,0,1,0,0,0,0,0,1,0,1,720,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
30,1,0,0,0,0,0,0,1,0,1,50,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
31,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
32,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
33,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
34,0,1,0,0,0,0,0,1,0,1,720,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
35,0,1,0,0,0,0,0,1,0,1,720,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
36,0,0,1,0,0,0,1,0,0,1,720,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
37,1,0,0,0,0,1,0,0,1,0,50,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
38,1,0,0,0,0,0,0,1,0,1,20,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
39,1,0,0,0,0,1,0,0,1,0,20,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
40,1,0,0,0,0,0,0,1,0,1,30,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
41,0,1,0,0,0,0,0,1,0,1,720,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
42,0,1,0,0,0,0,0,1,0,1,720,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
43,1,0,0,0,0,1,0,0,1,0,20,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
44,0,1,0,0,0,0,0,1,0,1,720,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
45,1,0,0,0,0,1,0,0,1,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
46,0,1,0,0,0,0,0,1,0,1,720,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
47,1,0,0,0,0,0,0,1,0,1,20,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
48,1,0,0,0,0,1,0,0,1,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
49,1,0,0,0,0,0,1,0,0,1,50,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
50,1,0,0,0,0,0,0,1,0,1,13,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
51,0,0,1,0,0,0,0,1,0,1,720,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
52,1,0,0,0,0,0,0,1,0,1,30,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
53,1,0,0,0,0,0,1,0,0,1,20,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
54,1,0,0,0,0,1,0,0,1,0,20,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
55,0,0,1,0,0,0,1,0,0,1,720,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
56,1,0,0,0,0,0,0,1,0,1,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
57,0,1,0,0,0,0,0,1,0,1,720,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
58,0,0,1,0,0,1,0,0,1,0,720,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
59,1,0,0,0,0,1,0,0,1,0,20,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
60,0,0,1,0,0,0,1,0,0,1,720,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
61,0,0,1,0,0,1,0,0,1,0,720,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
62,0,0,1,0,0,1,0,0,1,0,720,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
63,1,0,0,0,0,1,0,0,1,0,30,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
64,0,0,1,0,0,0,0,1,0,1,720,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
65,1,0,0,0,0,0,1,0,0,1,20,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
66,0,0,1,0,0,0,0,1,0,1,720,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
67,1,0,0,0,0,0,0,1,0,1,13,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
68,1,0,0,0,0,1,0,0,1,0,20,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
69,1,0,0,0,0,0,0,1,0,1,30,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
70,0,1,0,0,0,0,0,1,0,1,720,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
71,1,0,0,0,0,1,0,0,1,0,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
72,0,1,0,0,0,1,0,0,1,0,720,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
73,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
74,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
75,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
76,0,1,0,0,0,0,0,1,0,1,720,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
77,0,0,1,0,0,0,0,1,0,1,720,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
78,1,0,0,0,0,0,0,1,0,1,30,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
79,1,0,0,0,0,0,1,0,0,1,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
80,1,0,0,0,0,0,0,1,0,1,30,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
81,0,1,0,0,0,0,0,1,0,1,720,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
82,0,1,0,0,0,0,1,0,0,1,720,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
83,0,1,0,0,0,0,0,1,0,1,720,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
84,0,0,1,0,0,0,0,1,0,1,720,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
85,0,1,0,0,0,0,0,1,0,1,720,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
86,0,1,0,0,0,0,0,1,0,1,720,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
87,1,0,0,0,0,0,0,1,0,1,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
88,0,0,1,0,0,0,1,0,0,1,720,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
89,0,1,0,0,0,1,0,0,1,0,720,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
90,0,1,0,0,0,0,0,1,0,1,720,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
91,0,1,0,0,0,1,0,0,1,0,720,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
92,0,1,0,0,0,1,0,0,1,0,720,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
93,0,1,0,0,0,1,0,0,1,0,720,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
94,0,1,0,0,0,0,0,1,0,1,720,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
95,1,0,0,0,0,0,0,1,0,1,30,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
96,0,1,0,0,0,1,0,0,1,0,720,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
97,0,1,0,0,0,0,0,1,0,1,720,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
98,0,1,0,0,0,0,0,1,0,1,720,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
99,1,0,0,0,0,1,0,0,1,0,30,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
100,1,0,0,0,0,1,0,0,1,0,20,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
101,1,0,0,0,0,1,0,0,1,0,20,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
102,1,0,0,0,0,0,0,1,0,1,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
103,1,0,0,0,0,1,0,0,1,0,30,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
104,1,0,0,0,0,1,0,0,1,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
105,1,0,0,0,0,0,0,1,0,1,20,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
106,1,0,0,0,0,0,0,1,0,1,20,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
107,1,0,0,0,0,0,0,1,0,1,13,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
108,1,0,0,0,0,0,0,1,0,1,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
109,0,1,0,0,0,0,1,0,0,1,720,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
110,1,0,0,0,0,0,0,1,0,1,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
111,1,0,0,0,0,0,0,1,0,1,20,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
112,1,0,0,0,0,0,0,1,0,1,13,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
113,1,0,0,0,0,1,0,0,1,0,50,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
114,0,0,0,1,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
115,0,0,1,0,0,0,1,0,0,1,720,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
116,1,0,0,0,0,0,0,1,0,1,13,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
117,1,0,0,0,0,0,0,1,0,1,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
118,1,0,0,0,0,0,0,1,0,1,13,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
119,1,0,0,0,0,0,1,0,0,1,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
120,1,0,0,0,0,1,0,0,1,0,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
121,1,0,0,0,0,1,0,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
122,1,0,0,0,0,0,0,1,0,1,50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
123,1,0,0,0,0,1,0,0,1,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
124,1,0,0,0,0,0,0,1,0,1,30,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
125,0,0,1,0,0,0,0,1,0,1,720,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
126,0,0,1,0,0,0,0,1,0,1,720,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
127,0,0,1,0,0,0,0,1,0,1,720,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
128,0,1,0,0,0,0,0,1,0,1,720,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
129,0,0,1,0,0,1,0,0,1,0,720,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
130,0,0,1,0,0,0,0,1,0,1,720,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
131,0,0,1,0,0,0,0,1,0,1,720,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
132,0,1,0,0,0,0,0,1,0,1,720,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
133,1,0,0,0,0,0,1,0,0,1,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
134,1,0,0,0,0,0,0,1,0,1,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
135,1,0,0,0,0,0,0,1,0,1,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
136,1,0,0,0,0,0,1,0,0,1,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
137,1,0,0,0,0,1,0,0,1,0,30,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
138,1,0,0,0,0,0,0,1,0,1,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
139,0,0,1,0,0,1,0,0,1,0,720,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
140,0,1,0,0,0,0,0,1,0,1,720,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
141,1,0,0,0,0,0,0,1,0,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
142,1,0,0,0,0,0,1,0,0,1,20,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
143,1,0,0,0,0,0,0,1,0,1,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
144,1,0,0,0,0,0,0,1,0,1,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
145,1,0,0,0,0,0,1,0,0,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
146,1,0,0,0,0,0,0,1,0,1,13,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
147,1,0,0,0,0,1,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
148,1,0,0,0,0,1,0,0,1,0,50,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
149,1,0,0,0,0,0,1,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
150,0,1,0,0,0,0,0,1,0,1,720,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
151,1,0,0,0,0,1,0,0,1,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
152,0,1,0,0,0,0,0,1,0,1,720,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
153,1,0,0,0,0,0,1,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
154,0,1,0,0,0,0,0,1,0,1,720,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
155,0,1,0,0,0,1,0,0,1,0,720,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
156,0,1,0,0,0,1,0,0,1,0,720,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
157,1,0,0,0,0,0,0,1,0,1,50,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
158,0,1,0,0,0,0,0,1,0,1,720,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
159,0,1,0,0,0,1,0,0,1,0,720,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
160,1,0,0,0,0,0,0,1,0,1,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
161,0,0,0,1,0,0,0,1,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
162,0,0,0,1,0,0,0,1,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
163,1,0,0,0,0,0,0,1,0,1,13,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
164,1,0,0,0,0,1,0,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
165,1,0,0,0,0,1,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
166,1,0,0,0,0,0,0,1,0,1,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
167,1,0,0,0,0,0,0,1,0,1,50,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
168,1,0,0,0,0,0,0,1,0,1,20,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
169,1,0,0,0,0,0,1,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
170,1,0,0,0,0,0,1,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
171,1,0,0,0,0,0,0,1,0,1,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
172,1,0,0,0,0,0,1,0,0,1,50,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
173,0,1,0,0,0,0,0,1,0,1,720,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
174,0,1,0,0,0,1,0,0,1,0,720,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
175,1,0,0,0,0,0,0,1,0,1,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
176,1,0,0,0,0,1,0,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
177,0,1,0,0,0,0,1,0,0,1,720,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
178,1,0,0,0,0,0,0,1,0,1,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
179,1,0,0,0,0,1,0,0,1,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
180,1,0,0,0,0,1,0,0,1,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
181,1,0,0,0,0,0,0,1,0,1,30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
182,1,0,0,0,0,0,0,1,0,1,30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
183,1,0,0,0,0,0,0,1,0,1,50,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
184,1,0,0,0,0,0,0,1,0,1,30,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
185,0,0,0,1,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
186,0,0,0,1,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
187,1,0,0,0,0,1,0,0,1,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
188,1,0,0,0,0,1,0,0,1,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
189,1,0,0,0,0,0,0,1,0,1,50,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
190,1,0,0,0,0,0,0,1,0,1,30,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
191,1,0,0,0,0,1,0,0,1,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
192,1,0,0,0,0,0,0,1,0,1,30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
193,1,0,0,0,0,1,0,0,1,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
194,1,0,0,0,0,0,0,1,0,1,20,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
195,1,0,0,0,0,1,0,0,1,0,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
196,1,0,0,0,0,1,0,0,1,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
197,1,0,0,0,0,0,0,1,0,1,50,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
198,1,0,0,0,0,0,0,1,0,1,50,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
199,1,0,0,0,0,1,0,0,1,0,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
200,1,0,0,0,0,0,1,0,0,1,50,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
201,1,0,0,0,0,0,0,1,0,1,50,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
202,1,0,0,0,0,0,1,0,1,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
203,1,0,0,0,0,0,0,1,0,1,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
204,0,0,1,0,0,1,0,0,1,0,720,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
205,1,0,0,0,0,0,0,1,0,1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
206,1,0,0,0,0,1,0,0,0,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
207,1,0,0,0,0,0,1,0,1,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
208,1,0,0,0,0,0,0,1,1,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
209,1,0,0,0,0,1,0,0,0,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
210,1,0,0,0,0,1,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
211,1,0,0,0,0,0,0,1,0,1,50,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
212,1,0,0,0,0,0,0,1,0,1,20,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
213,0,1,0,0,0,0,0,1,0,1,720,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
214,0,0,1,0,0,0,0,1,0,1,720,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
215,1,0,0,0,0,0,0,1,1,0,30,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
216,0,1,0,0,0,0,0,1,1,0,720,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
217,0,1,0,0,0,1,0,0,0,1,720,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
218,0,0,1,0,0,1,0,0,0,1,720,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
219,0,0,1,0,0,0,0,1,1,0,720,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
220,0,0,1,0,0,0,0,1,0,1,720,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
221,0,1,0,0,0,1,0,0,1,0,720,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
222,0,0,1,0,0,0,0,1,0,1,720,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
223,0,1,0,0,0,1,0,0,1,0,720,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
224,1,0,0,0,0,0,0,1,1,0,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
225,1,0,0,0,0,1,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
226,0,1,0,0,0,1,0,0,0,1,720,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
227,1,0,0,0,0,0,0,1,1,0,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
228,1,0,0,0,0,0,0,1,0,1,20,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
